supplier_code,warehouse_code,sku_code,purchase_order_no,order_date,promised_date,receipt_date,delay_reason
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00024,2026-01-12,2026-01-20,2026-01-26,Carrier delay
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00025,2026-01-14,2026-01-22,2026-01-20,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00026,2026-01-16,2026-01-28,2026-02-02,Carrier delay
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00027,2026-01-18,2026-01-26,2026-01-30,Carrier delay
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00028,2026-01-20,2026-01-28,2026-01-31,Carrier delay
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00029,2026-01-22,2026-02-03,2026-02-02,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00030,2026-01-24,2026-02-01,2026-02-03,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00031,2026-01-26,2026-02-03,2026-02-03,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00032,2026-01-28,2026-02-09,2026-02-10,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00033,2026-01-30,2026-02-07,2026-02-08,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00034,2026-02-01,2026-02-09,2026-02-05,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00035,2026-02-03,2026-02-15,2026-02-19,Carrier delay
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00036,2026-02-05,2026-02-13,2026-02-14,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00037,2026-02-07,2026-02-15,2026-02-15,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00038,2026-02-09,2026-02-21,2026-02-21,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00039,2026-02-11,2026-02-19,2026-02-21,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00040,2026-02-13,2026-02-21,2026-02-20,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00041,2026-02-15,2026-02-27,2026-02-23,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00042,2026-02-17,2026-02-25,2026-02-27,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00043,2026-02-19,2026-02-27,2026-03-01,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00044,2026-02-21,2026-03-05,2026-03-06,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00045,2026-02-23,2026-03-03,2026-03-01,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00046,2026-02-25,2026-03-05,2026-03-06,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00047,2026-02-27,2026-03-11,2026-03-09,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00048,2026-03-01,2026-03-09,2026-03-08,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00049,2026-03-03,2026-03-11,2026-03-10,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00050,2026-03-05,2026-03-17,2026-03-20,Carrier delay
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00051,2026-03-07,2026-03-15,2026-03-15,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00052,2026-03-09,2026-03-17,2026-03-17,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00053,2026-03-11,2026-03-23,2026-03-29,Carrier delay
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00054,2026-03-13,2026-03-21,2026-03-23,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00055,2026-03-15,2026-03-23,2026-03-25,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00056,2026-03-17,2026-03-29,2026-03-29,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00057,2026-03-19,2026-03-27,2026-03-27,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00058,2026-03-21,2026-03-29,2026-03-25,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00059,2026-03-23,2026-04-04,2026-04-08,Carrier delay
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00060,2026-03-25,2026-04-02,2026-04-04,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00061,2026-03-27,2026-04-04,2026-04-05,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00062,2026-03-29,2026-04-10,2026-04-11,
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00063,2026-03-31,2026-04-08,2026-04-11,Carrier delay
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00064,2026-04-02,2026-04-10,2026-04-07,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00065,2026-04-04,2026-04-16,2026-04-16,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00066,2026-04-06,2026-04-14,2026-04-12,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00067,2026-04-08,2026-04-16,2026-04-21,Carrier delay
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00068,2026-04-10,2026-04-22,2026-04-25,Carrier delay
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00069,2026-04-12,2026-04-20,2026-04-16,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00070,2026-04-14,2026-04-22,2026-04-20,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00071,2026-04-16,2026-04-28,2026-04-29,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00072,2026-04-18,2026-04-26,2026-04-26,
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00073,2026-04-20,2026-04-28,2026-04-26,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00074,2026-04-22,2026-05-04,2026-05-10,Carrier delay
SUP-001,WH-MUC,ELEC-1001,DEMO-PO-00075,2026-04-24,2026-05-02,2026-05-04,
SUP-001,WH-HAM,ELEC-1002,DEMO-PO-00076,2026-04-26,2026-05-04,2026-05-06,
SUP-002,WH-MUC,MECH-2001,DEMO-PO-00077,2026-04-28,2026-05-10,2026-05-10,
SUP-001,WH-HAM,ELEC-1001,DEMO-PO-00078,2026-04-30,2026-05-08,2026-05-11,Carrier delay
SUP-001,WH-MUC,ELEC-1002,DEMO-PO-00079,2026-05-02,2026-05-10,2026-05-10,
SUP-002,WH-HAM,MECH-2001,DEMO-PO-00080,2026-05-04,2026-05-16,2026-05-17,
