DataQualityKey,CheckDateKey,FullDate,TableName,CheckName,CheckCategory,Severity,Status,RecordsChecked,FailedRecords,FailurePercentage,CreatedAt,PipelineRunID,SourceSystem,DataVersion
13,20260110,2026-01-10,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 14:16:12.995,4A0158F6-5F63-433A-ACC0-D2326242782C,DATA_QUALITY_FRAMEWORK,phase-4-v1
14,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 14:17:18.701,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
15,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:17:18.709,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
16,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 14:17:18.717,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
17,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:17:18.723,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
18,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 14:17:18.730,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
19,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1972,0,0.000000,2026-07-31 14:17:18.739,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
20,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 14:17:18.745,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
21,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 14:17:18.753,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
22,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:17:18.759,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
23,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,0,0,0.000000,2026-07-31 14:17:18.766,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
24,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 14:17:18.773,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
25,20260731,2026-07-31,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:17:18.780,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
26,20260731,2026-07-31,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 14:17:18.786,627BCEA5-F2AE-4325-87DD-CDC7723FBBFF,DATA_QUALITY_FRAMEWORK,phase-4-v1
27,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 14:33:49.211,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
28,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:33:49.219,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
29,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 14:33:49.225,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
30,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:33:49.231,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
31,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 14:33:49.238,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
32,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1973,0,0.000000,2026-07-31 14:33:49.245,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
33,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 14:33:49.251,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
34,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 14:33:49.259,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
35,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:33:49.265,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
36,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,720,0,0.000000,2026-07-31 14:33:49.274,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
37,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 14:33:49.282,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
38,20260731,2026-07-31,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 14:33:49.288,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
39,20260731,2026-07-31,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 14:33:49.295,EBBE550E-5B12-4A42-BCAC-0D72EB7578F7,DATA_QUALITY_FRAMEWORK,phase-4-v1
40,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:15:31.086,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
41,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:31.094,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
42,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:15:31.099,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
43,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:31.104,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
44,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 16:15:31.110,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
45,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1973,0,0.000000,2026-07-31 16:15:31.120,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
46,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 16:15:31.125,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
47,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 16:15:31.133,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
48,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:31.139,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
49,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,720,0,0.000000,2026-07-31 16:15:31.147,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
50,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 16:15:31.153,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
51,20260731,2026-07-31,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:31.163,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
52,20260731,2026-07-31,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 16:15:31.177,C8DD8904-A9B3-4F26-9264-3053BAAF637A,DATA_QUALITY_FRAMEWORK,phase-4-v1
53,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:15:54.153,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
54,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:54.161,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
55,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:15:54.167,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
56,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:54.172,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
57,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 16:15:54.179,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
58,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1973,0,0.000000,2026-07-31 16:15:54.185,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
59,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 16:15:54.191,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
60,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 16:15:54.197,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
61,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:54.204,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
62,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,720,0,0.000000,2026-07-31 16:15:54.212,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
63,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 16:15:54.218,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
64,20260731,2026-07-31,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:15:54.224,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
65,20260731,2026-07-31,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 16:15:54.239,3335DC79-6BCF-427B-9D4C-440CBF15C7FA,DATA_QUALITY_FRAMEWORK,phase-4-v1
66,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:17:22.118,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
67,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:22.126,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
68,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:17:22.136,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
69,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:22.143,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
70,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 16:17:22.148,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
71,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1973,0,0.000000,2026-07-31 16:17:22.154,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
72,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 16:17:22.161,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
73,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 16:17:22.166,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
74,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:22.172,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
75,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,720,0,0.000000,2026-07-31 16:17:22.186,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
76,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 16:17:22.193,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
77,20260731,2026-07-31,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:22.209,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
78,20260731,2026-07-31,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 16:17:22.216,950FF05E-8992-448B-88D0-AF3F124FFFB5,DATA_QUALITY_FRAMEWORK,phase-4-v1
79,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:17:42.389,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
80,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:42.398,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
81,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:17:42.405,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
82,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:42.410,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
83,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 16:17:42.416,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
84,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1973,0,0.000000,2026-07-31 16:17:42.421,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
85,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 16:17:42.426,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
86,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 16:17:42.436,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
87,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:42.443,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
88,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,720,0,0.000000,2026-07-31 16:17:42.449,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
89,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 16:17:42.455,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
90,20260731,2026-07-31,FactInventorySnapshot,warehouse_capacity_exceeded,BUSINESS_RULE,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:17:42.461,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
91,20260731,2026-07-31,"FactPurchaseOrder,FactPurchaseOrderLine",purchase_order_lifecycle_consistency,CONSISTENCY,CRITICAL,PASS,20,0,0.000000,2026-07-31 16:17:42.466,AE4D6809-01A4-4B9F-984B-549E8EC5BB9A,DATA_QUALITY_FRAMEWORK,phase-4-v1
92,20260731,2026-07-31,FactSales,required_sales_fields,COMPLETENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:19:16.398,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
93,20260731,2026-07-31,FactInventorySnapshot,required_inventory_fields,COMPLETENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:19:16.407,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
94,20260731,2026-07-31,FactSales,duplicate_sales_business_grain,UNIQUENESS,CRITICAL,PASS,225,0,0.000000,2026-07-31 16:19:16.413,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
95,20260731,2026-07-31,FactInventorySnapshot,duplicate_inventory_business_grain,UNIQUENESS,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:19:16.419,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
96,20260731,2026-07-31,MultipleFacts,invalid_or_orphaned_fact_keys,REFERENTIAL_INTEGRITY,CRITICAL,PASS,805,0,0.000000,2026-07-31 16:19:16.425,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
97,20260731,2026-07-31,DimDate,invalid_dates,VALIDITY,CRITICAL,PASS,1973,0,0.000000,2026-07-31 16:19:16.432,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
98,20260731,2026-07-31,FactSales,sales_date_range,VALIDITY,CRITICAL,PASS,224,0,0.000000,2026-07-31 16:19:16.438,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
99,20260731,2026-07-31,"FactSales,FactSellPrice",negative_sales_or_prices,VALIDITY,CRITICAL,PASS,449,0,0.000000,2026-07-31 16:19:16.445,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
100,20260731,2026-07-31,FactInventorySnapshot,inventory_closing_stock_reconciliation,CONSISTENCY,CRITICAL,PASS,560,0,0.000000,2026-07-31 16:19:16.451,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
101,20260731,2026-07-31,FactForecast,negative_forecasts,VALIDITY,CRITICAL,PASS,720,0,0.000000,2026-07-31 16:19:16.457,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
102,20260731,2026-07-31,"DimSupplier,BridgeSupplierProduct",supplier_capacity_below_minimum_order,BUSINESS_RULE,CRITICAL,PASS,38,0,0.000000,2026-07-31 16:19:16.464,360FFD54-85BD-433B-AF06-D720A313E1B8,DATA_QUALITY_FRAMEWORK,phase-4-v1
