DateKey,FullDate,TotalActualDemand,TotalRevenue,ExpectedDemand,ForecastRevenue,InventoryValue,ProductsAtRisk,CriticalStockouts,RecommendedPurchaseValue,ExpectedRevenueProtected,OptimizationSavings
20160301,2016-03-01,0.0000,0E-7,39.391697,261.4856,0.0000,0,0,0.0000,0.0000,0.0000
20160302,2016-03-02,0.0000,0E-7,39.319370,266.7483,0.0000,0,0,0.0000,0.0000,0.0000
20160303,2016-03-03,0.0000,0E-7,40.916815,273.2207,0.0000,0,0,0.0000,0.0000,0.0000
20160304,2016-03-04,0.0000,0E-7,40.688854,276.2215,0.0000,0,0,0.0000,0.0000,0.0000
20160102,2016-01-02,45.0000,0E-7,0.000000,0.0000,766.2500,0,0,0.0000,0.0000,0.0000
20160101,2016-01-01,26.0000,0E-7,0.000000,0.0000,920.0000,0,0,0.0000,0.0000,0.0000
20160222,2016-02-22,0.0000,0E-7,32.793260,218.8638,0.0000,0,0,0.0000,0.0000,0.0000
20160221,2016-02-21,0.0000,0E-7,41.450248,276.9495,0.0000,0,0,0.0000,0.0000,0.0000
20160220,2016-02-20,0.0000,0E-7,38.007043,254.9913,0.0000,0,0,0.0000,0.0000,0.0000
20160310,2016-03-10,0.0000,0E-7,41.674382,279.1510,0.0000,0,0,0.0000,0.0000,0.0000
20160311,2016-03-11,0.0000,0E-7,40.911541,278.0352,0.0000,0,0,0.0000,0.0000,0.0000
20160312,2016-03-12,0.0000,0E-7,44.390913,298.8615,0.0000,0,0,0.0000,0.0000,0.0000
20160313,2016-03-13,0.0000,0E-7,47.238276,319.6554,0.0000,0,0,0.0000,0.0000,0.0000
20160314,2016-03-14,0.0000,0E-7,40.131023,269.7194,0.0000,0,0,0.0000,0.0000,0.0000
20160315,2016-03-15,0.0000,0E-7,42.116054,279.6642,0.0000,0,0,0.0000,0.0000,0.0000
20160316,2016-03-16,0.0000,0E-7,36.475210,248.1556,0.0000,0,0,0.0000,0.0000,0.0000
20160317,2016-03-17,0.0000,0E-7,38.789524,254.4164,0.0000,0,0,0.0000,0.0000,0.0000
20160318,2016-03-18,0.0000,0E-7,36.796549,250.1641,0.0000,0,0,0.0000,0.0000,0.0000
20160319,2016-03-19,0.0000,0E-7,39.225721,258.8682,0.0000,0,0,0.0000,0.0000,0.0000
20160320,2016-03-20,0.0000,0E-7,41.473468,282.2453,0.0000,0,0,0.0000,0.0000,0.0000
20160321,2016-03-21,0.0000,0E-7,33.457620,222.1193,0.0000,0,0,0.0000,0.0000,0.0000
20160322,2016-03-22,0.0000,0E-7,33.500139,224.0652,0.0000,0,0,0.0000,0.0000,0.0000
20160323,2016-03-23,0.0000,0E-7,32.211165,214.9421,0.0000,0,0,0.0000,0.0000,0.0000
20160324,2016-03-24,0.0000,0E-7,32.073471,216.3888,0.0000,0,0,0.0000,0.0000,0.0000
20160325,2016-03-25,0.0000,0E-7,33.679796,224.1000,0.0000,0,0,0.0000,0.0000,0.0000
20160326,2016-03-26,0.0000,0E-7,32.205255,214.8814,0.0000,0,0,0.0000,0.0000,0.0000
20160327,2016-03-27,0.0000,0E-7,39.974742,271.3773,0.0000,0,0,0.0000,0.0000,0.0000
20160328,2016-03-28,0.0000,0E-7,33.166433,222.3239,0.0000,0,0,0.0000,0.0000,0.0000
20160329,2016-03-29,0.0000,0E-7,32.098928,215.0814,0.0000,0,0,0.0000,0.0000,0.0000
20160330,2016-03-30,0.0000,0E-7,32.476007,220.8096,0.0000,0,0,0.0000,0.0000,0.0000
20160331,2016-03-31,0.0000,0E-7,33.286221,219.1082,0.0000,0,0,0.0000,0.0000,0.0000
20160401,2016-04-01,0.0000,0E-7,43.219994,291.7424,0.0000,0,0,0.0000,0.0000,0.0000
20160402,2016-04-02,0.0000,0E-7,39.606487,267.7089,0.0000,0,0,0.0000,0.0000,0.0000
20160403,2016-04-03,0.0000,0E-7,45.926087,304.8612,0.0000,0,0,0.0000,0.0000,0.0000
20160404,2016-04-04,0.0000,0E-7,39.670150,268.1518,0.0000,0,0,0.0000,0.0000,0.0000
20160405,2016-04-05,0.0000,0E-7,40.906517,272.8055,0.0000,0,0,0.0000,0.0000,0.0000
20160406,2016-04-06,0.0000,0E-7,39.816619,269.8938,0.0000,0,0,0.0000,0.0000,0.0000
20160407,2016-04-07,0.0000,0E-7,42.247054,283.0479,0.0000,0,0,0.0000,0.0000,0.0000
20160408,2016-04-08,0.0000,0E-7,41.535141,280.5455,0.0000,0,0,0.0000,0.0000,0.0000
20160409,2016-04-09,0.0000,0E-7,43.004886,293.3836,0.0000,0,0,0.0000,0.0000,0.0000
20160410,2016-04-10,0.0000,0E-7,47.154372,317.4308,0.0000,0,0,0.0000,0.0000,0.0000
20160219,2016-02-19,0.0000,0E-7,37.887819,253.3704,0.0000,0,0,0.0000,0.0000,0.0000
20160218,2016-02-18,0.0000,0E-7,37.321834,250.3318,0.0000,0,0,0.0000,0.0000,0.0000
20160217,2016-02-17,0.0000,0E-7,37.470623,250.6975,0.0000,0,0,0.0000,0.0000,0.0000
20160216,2016-02-16,0.0000,0E-7,38.427833,257.0138,0.0000,0,0,0.0000,0.0000,0.0000
20160215,2016-02-15,0.0000,0E-7,40.148981,270.1258,0.0000,0,0,0.0000,0.0000,0.0000
20160214,2016-02-14,0.0000,0E-7,47.462770,319.7334,0.0000,0,0,0.0000,0.0000,0.0000
20160213,2016-02-13,0.0000,0E-7,42.808334,288.5208,0.0000,0,0,0.0000,0.0000,0.0000
20160212,2016-02-12,0.0000,0E-7,43.058819,288.9995,0.0000,0,0,0.0000,0.0000,0.0000
20160211,2016-02-11,0.0000,0E-7,41.450892,277.8540,0.0000,0,0,0.0000,0.0000,0.0000
20160210,2016-02-10,0.0000,0E-7,39.299700,267.7983,0.0000,0,0,0.0000,0.0000,0.0000
20160209,2016-02-09,0.0000,0E-7,40.216744,268.1024,0.0000,0,0,0.0000,0.0000,0.0000
20160208,2016-02-08,0.0000,0E-7,39.971000,271.6542,0.0000,0,0,0.0000,0.0000,0.0000
20160207,2016-02-07,0.0000,0E-7,48.404788,323.0890,0.0000,0,0,0.0000,0.0000,0.0000
20160206,2016-02-06,0.0000,0E-7,39.241131,262.7822,0.0000,0,0,0.0000,0.0000,0.0000
20160205,2016-02-05,0.0000,0E-7,43.168370,284.0613,0.0000,0,0,0.0000,0.0000,0.0000
20160204,2016-02-04,0.0000,0E-7,37.563669,253.9876,0.0000,0,0,0.0000,0.0000,0.0000
20160203,2016-02-03,0.0000,0E-7,38.696495,259.0234,0.0000,0,0,0.0000,0.0000,0.0000
20160202,2016-02-02,0.0000,0E-7,39.167612,263.3926,0.0000,0,0,0.0000,0.0000,0.0000
20160201,2016-02-01,0.0000,0E-7,37.314304,252.0476,0.0000,0,0,0.0000,0.0000,0.0000
20160308,2016-03-08,0.0000,0E-7,41.094045,277.9238,0.0000,0,0,0.0000,0.0000,0.0000
20160309,2016-03-09,0.0000,0E-7,40.239701,274.1343,0.0000,0,0,0.0000,0.0000,0.0000
20160305,2016-03-05,0.0000,0E-7,41.402360,275.1607,0.0000,0,0,0.0000,0.0000,0.0000
20160306,2016-03-06,0.0000,0E-7,45.424200,308.8527,0.0000,0,0,0.0000,0.0000,0.0000
20160307,2016-03-07,0.0000,0E-7,42.272269,283.0889,0.0000,0,0,0.0000,0.0000,0.0000
20160411,2016-04-11,0.0000,0E-7,39.884080,267.9452,0.0000,0,0,0.0000,0.0000,0.0000
20160412,2016-04-12,0.0000,0E-7,41.644312,277.9973,0.0000,0,0,0.0000,0.0000,0.0000
20160413,2016-04-13,0.0000,0E-7,39.375621,269.0696,0.0000,0,0,0.0000,0.0000,0.0000
20160414,2016-04-14,0.0000,0E-7,41.625676,278.8718,0.0000,0,0,0.0000,0.0000,0.0000
20160415,2016-04-15,0.0000,0E-7,41.943566,283.1924,0.0000,0,0,0.0000,0.0000,0.0000
20160416,2016-04-16,0.0000,0E-7,39.551080,265.0662,0.0000,0,0,0.0000,0.0000,0.0000
20160417,2016-04-17,0.0000,0E-7,44.457969,299.3071,0.0000,0,0,0.0000,0.0000,0.0000
20160418,2016-04-18,0.0000,0E-7,37.011679,246.7687,0.0000,0,0,0.0000,0.0000,0.0000
20160419,2016-04-19,0.0000,0E-7,34.913699,234.5658,0.0000,0,0,0.0000,0.0000,0.0000
20160420,2016-04-20,0.0000,0E-7,36.693161,242.1709,0.0000,0,0,0.0000,0.0000,0.0000
20160421,2016-04-21,0.0000,0E-7,32.359873,217.3953,0.0000,0,0,0.0000,0.0000,0.0000
20160422,2016-04-22,0.0000,0E-7,34.695134,229.3875,0.0000,0,0,0.0000,0.0000,0.0000
20160423,2016-04-23,0.0000,0E-7,33.550477,223.8590,0.0000,0,0,0.0000,0.0000,0.0000
20160424,2016-04-24,0.0000,0E-7,39.486515,265.5858,0.0000,0,0,0.0000,0.0000,0.0000
20160425,2016-04-25,0.0000,0E-7,32.636039,218.9899,0.0000,0,0,0.0000,0.0000,0.0000
20160426,2016-04-26,0.0000,0E-7,31.694120,212.5941,0.0000,0,0,0.0000,0.0000,0.0000
20160427,2016-04-27,0.0000,0E-7,34.526076,227.7110,0.0000,0,0,0.0000,0.0000,0.0000
20260101,2026-01-01,5.0000,24.9500000,0.000000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000
